ix,iy,x,y,occupied
92,10,1.89162,-2.01986,1
93,10,1.94162,-2.01986,1
94,10,1.99162,-2.01986,1
96,10,2.09162,-2.01986,1
97,10,2.14162,-2.01986,1
98,10,2.19162,-2.01986,1
99,10,2.24162,-2.01986,1
92,11,1.89162,-1.96986,1
93,11,1.94162,-1.96986,1
94,11,1.99162,-1.96986,1
95,11,2.04162,-1.96986,1
96,11,2.09162,-1.96986,1
98,11,2.19162,-1.96986,1
99,11,2.24162,-1.96986,1
119,11,3.24162,-1.96986,1
120,11,3.29162,-1.96986,1
80,12,1.29162,-1.91986,1
82,12,1.39162,-1.91986,1
91,12,1.84162,-1.91986,1
93,12,1.94162,-1.91986,1
94,12,1.99162,-1.91986,1
95,12,2.04162,-1.91986,1
97,12,2.14162,-1.91986,1
98,12,2.19162,-1.91986,1
99,12,2.24162,-1.91986,1
119,12,3.24162,-1.91986,1
120,12,3.29162,-1.91986,1
121,12,3.34162,-1.91986,1
73,13,0.94162,-1.86986,1
74,13,0.99162,-1.86986,1
75,13,1.04162,-1.86986,1
76,13,1.09162,-1.86986,1
77,13,1.14162,-1.86986,1
78,13,1.19162,-1.86986,1
79,13,1.24162,-1.86986,1
80,13,1.29162,-1.86986,1
81,13,1.34162,-1.86986,1
82,13,1.39162,-1.86986,1
92,13,1.89162,-1.86986,1
93,13,1.94162,-1.86986,1
94,13,1.99162,-1.86986,1
95,13,2.04162,-1.86986,1
97,13,2.14162,-1.86986,1
99,13,2.24162,-1.86986,1
100,13,2.29162,-1.86986,1
119,13,3.24162,-1.86986,1
120,13,3.29162,-1.86986,1
121,13,3.34162,-1.86986,1
122,13,3.39162,-1.86986,1
66,14,0.59162,-1.81986,1
70,14,0.79162,-1.81986,1
71,14,0.84162,-1.81986,1
72,14,0.89162,-1.81986,1
73,14,0.94162,-1.81986,1
74,14,0.99162,-1.81986,1
75,14,1.04162,-1.81986,1
76,14,1.09162,-1.81986,1
77,14,1.14162,-1.81986,1
78,14,1.19162,-1.81986,1
79,14,1.24162,-1.81986,1
80,14,1.29162,-1.81986,1
81,14,1.34162,-1.81986,1
83,14,1.44162,-1.81986,1
85,14,1.54162,-1.81986,1
89,14,1.74162,-1.81986,1
92,14,1.89162,-1.81986,1
99,14,2.24162,-1.81986,1
100,14,2.29162,-1.81986,1
116,14,3.09162,-1.81986,1
117,14,3.14162,-1.81986,1
119,14,3.24162,-1.81986,1
120,14,3.29162,-1.81986,1
121,14,3.34162,-1.81986,1
122,14,3.39162,-1.81986,1
60,15,0.29162,-1.76986,1
61,15,0.34162,-1.76986,1
64,15,0.49162,-1.76986,1
66,15,0.59162,-1.76986,1
67,15,0.64162,-1.76986,1
68,15,0.69162,-1.76986,1
69,15,0.74162,-1.76986,1
70,15,0.79162,-1.76986,1
71,15,0.84162,-1.76986,1
72,15,0.89162,-1.76986,1
73,15,0.94162,-1.76986,1
74,15,0.99162,-1.76986,1
75,15,1.04162,-1.76986,1
76,15,1.09162,-1.76986,1
77,15,1.14162,-1.76986,1
78,15,1.19162,-1.76986,1
79,15,1.24162,-1.76986,1
80,15,1.29162,-1.76986,1
81,15,1.34162,-1.76986,1
82,15,1.39162,-1.76986,1
83,15,1.44162,-1.76986,1
88,15,1.69162,-1.76986,1
89,15,1.74162,-1.76986,1
90,15,1.79162,-1.76986,1
96,15,2.09162,-1.76986,1
97,15,2.14162,-1.76986,1
99,15,2.24162,-1.76986,1
100,15,2.29162,-1.76986,1
101,15,2.34162,-1.76986,1
114,15,2.99162,-1.76986,1
115,15,3.04162,-1.76986,1
117,15,3.14162,-1.76986,1
120,15,3.29162,-1.76986,1
121,15,3.34162,-1.76986,1
122,15,3.39162,-1.76986,1
123,15,3.44162,-1.76986,1
52,16,-0.10838,-1.71986,1
55,16,0.04162,-1.71986,1
56,16,0.09162,-1.71986,1
57,16,0.14162,-1.71986,1
58,16,0.19162,-1.71986,1
59,16,0.24162,-1.71986,1
60,16,0.29162,-1.71986,1
61,16,0.34162,-1.71986,1
62,16,0.39162,-1.71986,1
63,16,0.44162,-1.71986,1
64,16,0.49162,-1.71986,1
65,16,0.54162,-1.71986,1
66,16,0.59162,-1.71986,1
67,16,0.64162,-1.71986,1
69,16,0.74162,-1.71986,1
70,16,0.79162,-1.71986,1
71,16,0.84162,-1.71986,1
72,16,0.89162,-1.71986,1
73,16,0.94162,-1.71986,1
82,16,1.39162,-1.71986,1
83,16,1.44162,-1.71986,1
84,16,1.49162,-1.71986,1
85,16,1.54162,-1.71986,1
86,16,1.59162,-1.71986,1
88,16,1.69162,-1.71986,1
89,16,1.74162,-1.71986,1
97,16,2.14162,-1.71986,1
99,16,2.24162,-1.71986,1
100,16,2.29162,-1.71986,1
101,16,2.34162,-1.71986,1
109,16,2.74162,-1.71986,1
110,16,2.79162,-1.71986,1
111,16,2.84162,-1.71986,1
112,16,2.89162,-1.71986,1
113,16,2.94162,-1.71986,1
114,16,2.99162,-1.71986,1
115,16,3.04162,-1.71986,1
116,16,3.09162,-1.71986,1
117,16,3.14162,-1.71986,1
118,16,3.19162,-1.71986,1
119,16,3.24162,-1.71986,1
120,16,3.29162,-1.71986,1
121,16,3.34162,-1.71986,1
122,16,3.39162,-1.71986,1
123,16,3.44162,-1.71986,1
50,17,-0.20838,-1.66986,1
52,17,-0.10838,-1.66986,1
53,17,-0.05838,-1.66986,1
54,17,-0.00838,-1.66986,1
55,17,0.04162,-1.66986,1
56,17,0.09162,-1.66986,1
57,17,0.14162,-1.66986,1
58,17,0.19162,-1.66986,1
59,17,0.24162,-1.66986,1
60,17,0.29162,-1.66986,1
61,17,0.34162,-1.66986,1
62,17,0.39162,-1.66986,1
63,17,0.44162,-1.66986,1
64,17,0.49162,-1.66986,1
65,17,0.54162,-1.66986,1
70,17,0.79162,-1.66986,1
71,17,0.84162,-1.66986,1
72,17,0.89162,-1.66986,1
73,17,0.94162,-1.66986,1
76,17,1.09162,-1.66986,1
77,17,1.14162,-1.66986,1
81,17,1.34162,-1.66986,1
82,17,1.39162,-1.66986,1
83,17,1.44162,-1.66986,1
84,17,1.49162,-1.66986,1
85,17,1.54162,-1.66986,1
86,17,1.59162,-1.66986,1
88,17,1.69162,-1.66986,1
99,17,2.24162,-1.66986,1
100,17,2.29162,-1.66986,1
101,17,2.34162,-1.66986,1
102,17,2.39162,-1.66986,1
103,17,2.44162,-1.66986,1
104,17,2.49162,-1.66986,1
105,17,2.54162,-1.66986,1
