x,y,z
3.37858,-1.0313,0.928908
3.37568,-1.03169,0.8422
3.36253,-1.02746,0.754631
3.50628,-1.09346,0.692442
3.50653,-1.09522,0.604762
1.65594,-0.26588,0.343459
3.50576,-1.10099,0.257471
1.85692,-0.358773,0.206229
1.79272,-0.330382,0.170424
2.2834,-1.61581,0.676623
2.30076,-1.6277,0.610342
2.30321,-1.62398,0.540948
2.30436,-1.61894,0.471865
2.31117,-1.61976,0.403789
2.30979,-1.6121,0.335216
2.30715,-1.60313,0.267101
2.31025,-1.60004,0.199352
1.05524,-1.10865,0.298361
1.34898,-1.81723,0.272827
1.35564,-1.81473,0.214668
1.35447,-1.79326,0.157205
0.511988,-1.27775,0.242646
0.517787,-1.25739,0.203506
0.523945,-1.28596,0.163043
0.699865,1.17372,0.152096
0.693133,1.17821,0.201513
0.685771,1.15985,0.226476
0.685906,1.18012,0.251029
1.83571,2.28388,0.177839
1.10768,1.1851,0.296865
1.11416,1.20226,0.327601
2.11334,1.33312,0.189093
2.12008,1.34196,0.240093
2.11745,1.3444,0.291333
2.11372,1.34605,0.342536
1.72256,1.08019,0.355608
1.46881,0.907529,0.361732
1.44016,0.890135,0.388428
1.40382,0.867234,0.412031
1.76261,0.0441115,0.253909
1.68415,0.0529909,0.284056
1.73911,0.0409641,0.319254
1.71728,0.0410755,0.350224
1.70353,0.0399377,0.3812
1.69878,0.0373281,0.413007
1.70291,0.0331874,0.446402
1.70611,0.0291423,0.480164
1.67957,0.0302933,0.507599
3.46224,-1.44684,0.22917
3.45304,-1.46086,0.317182
3.45041,-1.47877,0.405629
3.45337,-1.50017,0.495149
3.44643,-1.51595,0.584546
3.44583,-1.53571,0.67548
3.30962,-1.47314,0.742986
3.34651,-1.51565,0.839998
3.40462,-1.57224,0.945995
2.24353,-1.89607,0.172929
2.21679,-1.89283,0.242926
1.4377,-0.942715,0.277099
1.40456,-0.917215,0.313338
1.34332,-0.870284,0.380639
1.33306,-0.872791,0.416014
0.838262,-0.934236,0.175651
0.823495,-0.918754,0.206744
0.814072,-0.921654,0.236915
0.80212,-0.915055,0.266829
0.792325,-0.916339,0.296745
0.784474,-0.925534,0.327318
0.289173,-1.66808,0.176182
0.272671,-1.66704,0.224014
0.812434,1.17653,0.258874
0.817063,1.16471,0.234423
0.834847,1.18995,0.209525
0.863633,1.21823,0.156853
