ix,iy,x,y,occupied
46,5,1.91662,-1.99486,1
47,5,2.01662,-1.99486,1
48,5,2.11662,-1.99486,1
49,5,2.21662,-1.99486,1
59,5,3.21662,-1.99486,1
60,5,3.31662,-1.99486,1
36,6,0.91662,-1.89486,1
37,6,1.01662,-1.89486,1
38,6,1.11662,-1.89486,1
39,6,1.21662,-1.89486,1
40,6,1.31662,-1.89486,1
41,6,1.41662,-1.89486,1
45,6,1.81662,-1.89486,1
46,6,1.91662,-1.89486,1
47,6,2.01662,-1.89486,1
48,6,2.11662,-1.89486,1
49,6,2.21662,-1.89486,1
50,6,2.31662,-1.89486,1
59,6,3.21662,-1.89486,1
60,6,3.31662,-1.89486,1
61,6,3.41662,-1.89486,1
30,7,0.31662,-1.79486,1
32,7,0.51662,-1.79486,1
33,7,0.61662,-1.79486,1
34,7,0.71662,-1.79486,1
35,7,0.81662,-1.79486,1
36,7,0.91662,-1.79486,1
37,7,1.01662,-1.79486,1
38,7,1.11662,-1.79486,1
39,7,1.21662,-1.79486,1
40,7,1.31662,-1.79486,1
41,7,1.41662,-1.79486,1
42,7,1.51662,-1.79486,1
44,7,1.71662,-1.79486,1
45,7,1.81662,-1.79486,1
46,7,1.91662,-1.79486,1
48,7,2.11662,-1.79486,1
49,7,2.21662,-1.79486,1
50,7,2.31662,-1.79486,1
57,7,3.01662,-1.79486,1
58,7,3.11662,-1.79486,1
59,7,3.21662,-1.79486,1
60,7,3.31662,-1.79486,1
61,7,3.41662,-1.79486,1
25,8,-0.18338,-1.69486,1
26,8,-0.08338,-1.69486,1
27,8,0.01662,-1.69486,1
28,8,0.11662,-1.69486,1
29,8,0.21662,-1.69486,1
30,8,0.31662,-1.69486,1
31,8,0.41662,-1.69486,1
32,8,0.51662,-1.69486,1
33,8,0.61662,-1.69486,1
34,8,0.71662,-1.69486,1
35,8,0.81662,-1.69486,1
36,8,0.91662,-1.69486,1
38,8,1.11662,-1.69486,1
40,8,1.31662,-1.69486,1
41,8,1.41662,-1.69486,1
42,8,1.51662,-1.69486,1
43,8,1.61662,-1.69486,1
44,8,1.71662,-1.69486,1
48,8,2.11662,-1.69486,1
49,8,2.21662,-1.69486,1
50,8,2.31662,-1.69486,1
51,8,2.41662,-1.69486,1
52,8,2.51662,-1.69486,1
53,8,2.61662,-1.69486,1
54,8,2.71662,-1.69486,1
55,8,2.81662,-1.69486,1
56,8,2.91662,-1.69486,1
57,8,3.01662,-1.69486,1
58,8,3.11662,-1.69486,1
59,8,3.21662,-1.69486,1
60,8,3.31662,-1.69486,1
61,8,3.41662,-1.69486,1
20,9,-0.68338,-1.59486,1
21,9,-0.58338,-1.59486,1
22,9,-0.48338,-1.59486,1
23,9,-0.38338,-1.59486,1
24,9,-0.28338,-1.59486,1
25,9,-0.18338,-1.59486,1
26,9,-0.08338,-1.59486,1
27,9,0.01662,-1.59486,1
28,9,0.11662,-1.59486,1
30,9,0.31662,-1.59486,1
31,9,0.41662,-1.59486,1
32,9,0.51662,-1.59486,1
