time_s,sport_x,sport_y,sport_z,sport_roll,sport_pitch,sport_yaw,sport_vx,sport_vy,sport_vz,sport_yaw_speed,body_height,mode,gait_type,error_code,odom_x,odom_y,odom_z,odom_roll,odom_pitch,odom_yaw,odom_vx,odom_vy,odom_vz,odom_wx,odom_wy,odom_wz
1779593156.466176,-0.122596,-0.009854,0.312159,-0.015677,0.010943,0.526757,-0.004146,-0.000727,-0.024140,0.005326,0.320782,0,0,100,-0.122596,-0.009854,0.312159,-0.015677,0.010943,0.526757,-0.004146,-0.000727,-0.024140,-0.010653,-0.001065,0.005326
1779593156.470170,-0.122593,-0.009854,0.312158,-0.015671,0.010928,0.526798,0.005747,0.005648,-0.024158,0.017044,0.320784,0,0,100,-0.122596,-0.009854,0.312159,-0.015677,0.010943,0.526757,-0.004146,-0.000727,-0.024140,-0.010653,-0.001065,0.005326
1779593156.472162,-0.122601,-0.009859,0.312160,-0.015672,0.010909,0.526807,0.001010,-0.000799,-0.024197,0.001065,0.320786,0,0,100,-0.122596,-0.009854,0.312159,-0.015677,0.010943,0.526757,-0.004146,-0.000727,-0.024140,-0.010653,-0.001065,0.005326
1779593156.476261,-0.122605,-0.009852,0.312162,-0.015679,0.010915,0.526821,-0.000125,0.011314,-0.023909,0.012783,0.320782,0,0,100,-0.122601,-0.009859,0.312160,-0.015672,0.010909,0.526808,0.001010,-0.000799,-0.024197,-0.005326,-0.012783,0.001065
1779593156.480229,-0.122609,-0.009853,0.312165,-0.015675,0.010892,0.526815,0.009095,0.003282,-0.023964,0.004261,0.320782,0,0,100,-0.122609,-0.009853,0.312165,-0.015675,0.010892,0.526815,0.009095,0.003282,-0.023964,0.006392,-0.011718,0.004261
1779593156.482232,-0.122611,-0.009857,0.312167,-0.015680,0.010886,0.526800,0.005192,-0.000985,-0.023998,-0.005326,0.320782,0,0,100,-0.122609,-0.009853,0.312165,-0.015675,0.010892,0.526815,0.009095,0.003282,-0.023964,0.006392,-0.011718,0.004261
1779593156.486318,-0.122600,-0.009860,0.312165,-0.015661,0.010896,0.526796,0.008357,-0.007096,-0.024148,0.001065,0.320784,0,0,100,-0.122600,-0.009860,0.312165,-0.015661,0.010896,0.526796,0.008357,-0.007096,-0.024148,-0.006392,0.004261,0.001065
1779593156.490317,-0.122605,-0.009854,0.312161,-0.015655,0.010895,0.526770,0.001806,0.014652,-0.024115,-0.007457,0.320778,0,0,100,-0.122600,-0.009860,0.312165,-0.015661,0.010896,0.526796,0.008357,-0.007096,-0.024148,-0.006392,0.004261,0.001065
1779593156.492347,-0.122607,-0.009860,0.312160,-0.015651,0.010889,0.526754,-0.005082,0.008748,-0.024370,-0.017044,0.320777,0,0,100,-0.122600,-0.009860,0.312165,-0.015661,0.010896,0.526796,0.008357,-0.007096,-0.024148,-0.006392,0.004261,0.001065
1779593156.496306,-0.122602,-0.009861,0.312161,-0.015662,0.010882,0.526720,-0.001819,-0.000784,-0.024536,-0.018109,0.320786,0,0,100,-0.122607,-0.009860,0.312160,-0.015651,0.010889,0.526754,-0.005082,0.008748,-0.024370,0.000000,-0.012783,-0.017044
1779593156.500277,-0.122609,-0.009856,0.312160,-0.015677,0.010882,0.526688,-0.004920,0.002717,-0.024507,-0.008522,0.320779,0,0,100,-0.122607,-0.009860,0.312160,-0.015651,0.010889,0.526754,-0.005082,0.008748,-0.024370,0.000000,-0.012783,-0.017044
