time_s,sport_x,sport_y,sport_z,sport_roll,sport_pitch,sport_yaw,sport_vx,sport_vy,sport_vz,sport_yaw_speed,body_height,mode,gait_type,error_code,odom_x,odom_y,odom_z,odom_roll,odom_pitch,odom_yaw,odom_vx,odom_vy,odom_vz,odom_wx,odom_wy,odom_wz
1779593374.604314,-0.129033,-0.019905,0.306633,-0.023685,0.005254,0.537538,-0.000000,-0.000000,0.000000,0.001065,0.316236,0,0,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779593374.608330,-0.129034,-0.019914,0.306633,-0.023668,0.005242,0.537581,-0.000000,-0.000000,0.000000,0.006392,0.316236,0,0,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779593374.610192,-0.129040,-0.019910,0.306633,-0.023666,0.005257,0.537591,-0.000000,0.000000,0.000000,0.008522,0.316234,0,0,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779593374.614180,-0.129045,-0.019918,0.306633,-0.023660,0.005222,0.537591,-0.000000,-0.000000,0.000000,0.004261,0.316236,0,0,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779593374.618189,-0.129045,-0.019908,0.306632,-0.023688,0.005235,0.537602,0.000000,-0.000000,0.000000,0.001065,0.316236,0,0,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779593374.620263,-0.129050,-0.019910,0.306633,-0.023683,0.005214,0.537608,-0.000000,-0.000000,0.000000,0.012783,0.316229,0,0,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779593374.624471,-0.129059,-0.019908,0.306632,-0.023720,0.005214,0.537621,-0.000000,0.000000,-0.000000,0.010653,0.316231,0,0,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779593374.628235,-0.129052,-0.019905,0.306632,-0.023707,0.005231,0.537602,0.000000,0.000000,-0.000000,0.003196,0.316233,0,0,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779593374.630313,-0.129046,-0.019905,0.306632,-0.023697,0.005236,0.537587,0.000000,0.000000,-0.000000,-0.014914,0.316229,0,0,100,-0.129052,-0.019905,0.306632,-0.023707,0.005231,0.537602,0.000000,0.000000,-0.000000,0.001065,0.003196,0.003196
1779593374.634303,-0.129044,-0.019894,0.306632,-0.023725,0.005260,0.537574,-0.000000,0.000000,-0.000000,-0.001065,0.316232,0,0,100,-0.129052,-0.019905,0.306632,-0.023707,0.005231,0.537602,0.000000,0.000000,-0.000000,0.001065,0.003196,0.003196
1779593374.638301,-0.129049,-0.019887,0.306632,-0.023754,0.005264,0.537559,0.000000,0.000000,-0.000000,-0.005326,0.316234,0,0,100,-0.129044,-0.019894,0.306632,-0.023725,0.005260,0.537574,-0.000000,0.000000,-0.000000,-0.011718,-0.007457,-0.001065
1779593374.640254,-0.129053,-0.019891,0.306632,-0.023762,0.005268,0.537552,-0.000000,0.000000,-0.000000,-0.005326,0.316233,0,0,100,-0.129044,-0.019894,0.306632,-0.023725,0.005260,0.537574,-0.000000,0.000000,-0.000000,-0.011718,-0.007457,-0.001065
1779593374.644245,-0.129043,-0.019885,0.306632,-0.023757,0.005270,0.537519,0.000000,0.000000,-0.000000,0.002131,0.316234,0,0,100,-0.129053,-0.019891,0.306632,-0.023762,0.005268,0.537552,-0.000000,0.000000,-0.000000,-0.008522,-0.003196,-0.005326
1779593374.648253,-0.129038,-0.019879,0.306632,-0.023757,0.005296,0.537478,0.000000,-0.000000,0.000000,0.003196,0.316234,0,0,100,-0.129053,-0.019891,0.306632,-0.023762,0.005268,0.537552,-0.000000,0.000000,-0.000000,-0.008522,-0.003196,-0.005326
1779593374.650357,-0.129037,-0.019879,0.306632,-0.023762,0.005315,0.537495,0.000000,-0.000000,0.000000,0.003196,0.316234,0,0,100,-0.129038,-0.019879,0.306632,-0.023757,0.005296,0.537478,0.000000,-0.000000,0.000000,-0.011718,0.007457,0.003196
